article_num,paraphrase
1,All human beings are born free and equal.
2,"Everyone is equal regardless of race, colour, sex, language, religion, politics, or where they were born."
3,Everyone has the right to life (and to live in freedom and safety)."
4,Everyone has the right to be free from slavery.
5,Everyone has the right to be free from torture.
6,Everyone has the right to be recongnised before the law.
7,We are all are equal before the law.
8,Everyone has the right to seek justice if their rights are violated.
9,"Everyone has the right to freedom from arbitrary arrest, detention or exile."
10,Everyone has the right to a fair trial.
11,Everyone has the right to be presumed innocent until proven guilty.
12,Everyone has the right to privacy and freedom from attacks on their reputation.
13,Everyone has the right to freedom of movement and to be free to leave and return to their own country.
14,Everyone has the right to seek asylum from persecution.
15,Everyone has the right to a nationality.
16,Everyone has the right to marry and to have a family.
17,Everyone has the right to own property.
18,"Everyone has the right to freedom of thought, conscience and religion."
19,Everyone has the right to freedom of opinion and expression.
20,Everyone has the right to freedom of peaceful assembly and association.
21,Everyone has the right to take part in government and to have equal access to public service.
22,Everyone has the right to social security.
23,"Everyone has the right to work, to equal pay, to protection against unemployment and the right to form and join trade unions."
24,Everyone has the right to rest and leisure.
25,"Everyone has the right to a decent standard of living, including food, clothing, housing, medical care and social services."
26,Everyone has the right to education.
27,"Everyone has the right to participate in and enjoy culture, art and science."
28,Everyone has the right to a social and international order where the rights in this Declaration can be fully realized.
29,We have a duty to other people and we should protect their rights and freedoms.
30,Nobody can take away these rights and freedoms from us.
